SIHcode,City name,IBGE code,,,,
150010,ABAETETUBA,1500107,,,,
150013,ABEL FIGUEIREDO,1500131,,,,
150020,ACARA,1500206,,,,
150030,AFUA,1500305,,,,
150034,AGUA AZUL DO NORTE,1500347,,,,
150040,ALENQUER,1500404,,,,
150050,ALMEIRIM,1500503,,,,
150060,ALTAMIRA,1500602,,,,
150070,ANAJAS,1500701,,,,
150080,ANANINDEUA,1500800,,,,
150085,ANAPU,1500859,,,,
150090,AUGUSTO CORREA,1500909,,,,
150095,AURORA DO PARA,1500958,,,,
150100,AVEIRO,1501006,,,,
150110,BAGRE,1501105,,,,
150120,BAIAO,1501204,,,,
150125,BANNACH,1501253,,,,
150130,BARCARENA,1501303,,,,
150140,BELEM,2700805,,,,
150145,BELTERRA,1501451,,,,
150150,BENEVIDES,1501501,,,,
150157,BOM JESUS DO TOCANTINS,1501576,,,,
150160,BONITO,2904050,,,,
150170,BRAGANCA,1501709,,,,
150172,BRASIL NOVO,1501725,,,,
150175,BREJO GRANDE DO ARAGUAIA,1501758,,,,
150178,BREU BRANCO,1501782,,,,
150180,BREVES,1501808,,,,
150190,BUJARU,1501907,,,,
150195,CACHOEIRA DO PIRIA,1501956,,,,
150200,CACHOEIRA DO ARARI,1502004,,,,
150210,CAMETA,1502103,,,,
150215,CANAA DOS CARAJAS,1502152,,,,
150220,CAPANEMA,1502202,,,,
150230,CAPITAO POCO,1502301,,,,
150240,CASTANHAL,1502400,,,,
150250,CHAVES,1502509,,,,
150260,COLARES,1502608,,,,
150270,CONCEICAO DO ARAGUAIA,1502707,,,,
150275,CONCORDIA DO PARA,1502756,,,,
150276,CUMARU DO NORTE,1502764,,,,
150277,CURIONOPOLIS,1502772,,,,
150280,CURRALINHO,1502806,,,,
150285,CURUA,1502855,,,,
150290,CURUCA,1502905,,,,
150293,DOM ELISEU,1502939,,,,
150295,ELDORADO DOS CARAJAS,1502954,,,,
150300,FARO,1503002,,,,
150304,FLORESTA DO ARAGUAIA,1503044,,,,
150307,GARRAFAO DO NORTE,1503077,,,,
150309,GOIANESIA DO PARA,1503093,,,,
150310,GURUPA,1503101,,,,
150320,IGARAPE-ACU,1503200,,,,
150330,IGARAPE-MIRI,1503309,,,,
150340,INHANGAPI,1503408,,,,
150345,IPIXUNA DO PARA,1503457,,,,
150350,IRITUIA,1503507,,,,
150360,ITAITUBA,1503606,,,,
150370,ITUPIRANGA,1503705,,,,
150375,JACAREACANGA,1503754,,,,
150380,JACUNDA,1503804,,,,
150390,JURUTI,1503903,,,,
150400,LIMOEIRO DO AJURU,1504000,,,,
150405,MAE DO RIO,1504059,,,,
150410,MAGALHAES BARATA,1504109,,,,
150420,MARABA,1504208,,,,
150430,MARACANA,1504307,,,,
150440,MARAPANIM,1504406,,,,
150442,MARITUBA,1504422,,,,
150445,MEDICILANDIA,1504455,,,,
150450,MELGACO,1504505,,,,
150460,MOCAJUBA,1504604,,,,
150470,MOJU,1504703,,,,
150475,MOJUI DOS CAMPOS,1504752,,,,
150480,MONTE ALEGRE,1504802,,,,
150490,MUANA,1504901,,,,
150495,NOVA ESPERANCA DO PIRIA,1504950,,,,
150497,NOVA IPIXUNA,1504976,,,,
150500,NOVA TIMBOTEUA,1505007,,,,
150503,NOVO PROGRESSO,1505031,,,,
150506,NOVO REPARTIMENTO,1505064,,,,
150510,OBIDOS,1505106,,,,
150520,OEIRAS DO PARA,1505205,,,,
150530,ORIXIMINA,1505304,,,,
150540,OUREM,1505403,,,,
150543,OURILANDIA DO NORTE,1505437,,,,
150548,PACAJA,1505486,,,,
150549,PALESTINA DO PARA,1505494,,,,
150550,PARAGOMINAS,1505502,,,,
150553,PARAUAPEBAS,1505536,,,,
150555,PAU D'ARCO,1505551,,,,
150560,PEIXE-BOI,1505601,,,,
150563,PICARRA,1505635,,,,
150565,PLACAS,1505650,,,,
150570,PONTA DE PEDRAS,1505700,,,,
150580,PORTEL,1505809,,,,
150590,PORTO DE MOZ,1505908,,,,
150600,PRAINHA,1506005,,,,
150610,PRIMAVERA,1506104,,,,
150611,QUATIPURU,1506112,,,,
150613,REDENCAO,2311603,,,,
150616,RIO MARIA,1506161,,,,
150618,RONDON DO PARA,1506187,,,,
150619,RUROPOLIS,1506195,,,,
150620,SALINOPOLIS,1506203,,,,
150630,SALVATERRA,1506302,,,,
150635,SANTA BARBARA DO PARA,1506351,,,,
150640,SANTA CRUZ DO ARARI,1506401,,,,
150650,SANTA IZABEL DO PARA,1506500,,,,
150655,SANTA LUZIA DO PARA,1506559,,,,
150658,SANTA MARIA DAS BARREIRAS,1506583,,,,
150660,SANTA MARIA DO PARA,1506609,,,,
150670,SANTANA DO ARAGUAIA,1506708,,,,
150680,SANTAREM,1506807,,,,
150690,SANTAREM NOVO,1506906,,,,
150700,SANTO ANTONIO DO TAUA,1507003,,,,
150710,SAO CAETANO DE ODIVELAS,1507102,,,,
150715,SAO DOMINGOS DO ARAGUAIA,1507151,,,,
150720,SAO DOMINGOS DO CAPIM,1507201,,,,
150730,SAO FELIX DO XINGU,1507300,,,,
150740,SAO FRANCISCO DO PARA,1507409,,,,
150745,SAO GERALDO DO ARAGUAIA,1507458,,,,
150746,SAO JOAO DA PONTA,1507466,,,,
150747,SAO JOAO DE PIRABAS,1507474,,,,
150750,SAO JOAO DO ARAGUAIA,1507508,,,,
150760,SAO MIGUEL DO GUAMA,1507607,,,,
150770,SAO SEBASTIAO DA BOA VISTA,1507706,,,,
150775,SAPUCAIA,1507755,,,,
150780,SENADOR JOSE PORFIRIO,1507805,,,,
150790,SOURE,1507904,,,,
